File,short_size,long_size,drape,measured_area_cm,plate_diam,px_cm,t_lower,t_upper
towel_flat_27,51,91,4.2,745,27,295,8900,560
towel_2layers_27,46,51,22.7,975,27,295,8900,560
towel_4layers_15,25,46,37.8,545,15,295,8900,560
towel_6layers_10,17,46,57.7,485,10,295,8900,560
towel_8layers_12,23,26,99.9,598,12,295,8900,560
towel_16layers_7,12,23,100,370,7,295,8900,560
pillowc_2layers_27,46,56,11.4,801,27,295,8900,560
pillowc_4layers_15,28,46,24.4,448,15,295,8900,560
pillowc_6layers_11,19,46,28.3,316,11,295,8900,560
pillowc_8layers_12,23,28,60.1,432,12,295,8900,560
pillowc_16layers_7,14,23,87.1,285,7,295,8900,560
check_flat_27,51,71,6.5,771,27,295,5000,560
check_2layers_21,36,51,17.5,607,21,295,5000,560
check_4layers_15,26,36,41.1,489,15,295,5000,560
check_6layers_10,17,36,49.2,341,10,295,5000,560
check_8layers_10,18,26,70.2,352,10,295,5000,560
check_12layers_7,12,26,83.1,266,7,295,5000,560
check_16layers_7,18,13,100,240,7,295,5000,560
waffle_flat_27,51,71,7.7,807,27,295,8900,560
waffle_2layers_21,36,51,18.6,624,21,295,8900,560
waffle_4layers_15,26,36,47,533,15,295,8900,560
waffle_6layers_10,17,36,57,383,10,295,8900,560
waffle_8layers_10,18,26,85.7,412,10,295,8900,560
waffle_12layers_7,12,26,100,340,7,295,8900,560
waffle_16layers_7,13,18,100,266,7,295,7900,560
napkin_flat_27,51,51,13.5,846,27,295,8900,560
napkin_2layers_15,26,51,21.4,423,15,295,8900,560
napkin_4layers_15,26,26,61.8,485,15,295,8900,560
napkin_6layers_10,17,26,73.9,347,10,295,8900,560
napkin_8layers_7,13,26,74.5,262,7,295,8900,560
napkin_12layers_5,9,26,74.5,179,5,295,8900,560
napkin_16layers_7,13,13,100.0,178,7,295,8900,560
